name,jurisdiction,category,designator,description,additional_description1,additional_description2,url1,url2,url3,url4,lookup jurisdiction,long_id,notes,additional_description3,seo_title,seo_description,seo_keywords
"Should we authorize the District to adjust its regular property tax levy rate  to finance maintenance, operations, and equipment in King County Fire Protection District No. 28?",King County Fire Protection District No. 28,Proposition,1,"The Board of Fire Commissioners of King County Fire Protection District No. 28 adopted Resolution No. 13-003 to finance maintenance, operations, and equipment. This proposition would authorize the District to adjust its regular property tax levy rate to one dollar and fifty cents ($1.50) per one thousand dollars ($1000) of assessed valuation for collection in 2014 and to set the limit factor at 100% plus the annual percentage change in the Consumer Price Index for each of the five succeeding years, 2015 through 2019. The maximum allowable levy amount in 2019 would be used to compute limitations for subsequent years as allowed by chapter 84.55 RCW. Should this proposition be:   Approved Rejected",,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47898&eid=1258,,,,King County Fire Protection District No. 28,kcfireno28,,,,,"Proposition 1,"
Should we authorize the District to levy excess taxes in support of fire protection and emergency medical services in King County Fire Protection District No. 44?,King County Fire Protection District No. 44,Proposition,1,"The Board of King County Fire Protection District No. 44 adopted Resolution No. 13-487 concerning a proposition to adequately finance maintenance and operation costs.  This proposition provides for the support of fire protection and emergency medical services, facilities, maintenance, staffing and operations by authorizing the District to levy excess taxes in the amount of $650,000.00 per year for four consecutive years beginning in 2013 to be collected in each year following at an approximate levy rate of $0.31 per thousand dollars of assessed valuation (the actual rate will be based on assessed values). Should this proposition be approved? Yes No",,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47901&eid=1258,,,,King County Fire Protection District No. 44,kcfireno44,,,,,"Proposition 1,"
Should the Kitsap County Fire Protection District No. 18's levy continue to provide emergency medical services?,Kitsap County Fire District No. 18,Proposition,," For the purpose of providing emergency medical services, will Kitsap County Fire Protection District No. 18 (Poulsbo Fire Department) be authorized to continue to impose regular property tax levies of 50 cents or less per thousand dollars of assessed valuation for each of six consecutive years, with collection starting in 2015? (Authority: RCW 84.52.069; KCFPD No. 18 Res. No. 13-08)",,,,,,,Kitsap County Fire District No. 18,kp_firetx1,,,,,"Proposition ,"
Should the Klickitat Port's levy be increased?,Klickitat Port District No.  1,Proposition,,"<p>The Port Commission adopted Resolution 2-2013 concerning this proposition to fund all District activities authorized under Revised Code of Washington Title 53 by increasing the District's tax levy. If approved, this proposition would authorize the Port to increase its regular property tax levy rate to $0.45 per $1,000 of assessed value in 2014 and increase the levy amounts collected in each of the five succeeding years by 3%, subject to the limitations of RCW 53.36.020.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Klickitat Port District No.  1,kt_porttx1,,,,,"Proposition ,"
Should we authorize a special levy for the operation and maintenance of the swimming pool in Lacrosse Park District No. 1? ,Lacrosse Park District No. 1,Proposition,1,"Shall a special levy of $40,000 an estimated $.28 per $1,000.00 of assessed valuation, for the operation and maintenance of the swimming pool, be approved for collection in 2014?",,,,,,,Lacrosse Park District No. 1,wt_parktx4,,,,,"Proposition 1,"
Should we levy excess taxes for the purpose of funding operations and capital improvements of the Lopez Solid Waste Disposal District ?,Lopez Solid Waste Disposal District,Proposition,1,"<p>The Governing Body of the Lopez Solid Waste Disposal District (District) adopted Resolution No. 1-2013 concerning an excess regular property tax for the District. This proposition would authorize the District to generate $115,000 of revenue by a levy of excess taxes upon all taxable property within the District requiring collection of an estimated amount of 11.155 cents per $1,000 of assessed valuation for one tax year (2014) for the purpose of funding operations and capital improvements of the District.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Lopez Solid Waste Disposal District,sj_lswdtax,,,,,"Proposition 1,"
Should the Mason County Fire Protection District No. 13's levy be increased to finance maintenance and operations?,Mason Fire Protection Dist No. 13,Proposition,,"<p>The Board of Commissioners for Mason County Fire Protection District No. 13 adopted Resolution No. 242, concerning a proposition to finance maintenance and operations expenses. This proposition would increase the District's regular property tax levy to an amount not to exceed $1.00 per $1,000.00 of assessed valuation to be levied in 2013 for collection in 2014. The maximum allowable levy in 2013 shall serve as the base for computing subsequent levy limitations as provided by chapter 84.55 RCW.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Mason Fire Protection District No. 13,ma_firetx1,,,,,"Proposition ,"
Should we lift the property tax levy lid in Mason County Fire Protection District No. 18?,Mason Fire Protection District No. 18 ,Proposition,,"<p>The Board of Commissioners for Mason County Fire Protection District No. 18 adopted Resolution No. 230, concerning a proposition to finance capital facility improvements and operations expenses. This proposition would establish the District's regular property tax levy in an amount not to exceed $1.00 per $1,000.00 of assessed valuation for collection in 2014 and would authorize an annual increase of up to 6% (not to exceed the $1.00 rate) for each of the five succeeding years. The maximum allowable levy in 2018, collected in 2019, shall serve as the base for subsequent levy limitations as provided by Chapter 84.55 RCW.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Mason Fire Protection District No. 18,ma_firetx3,,,,,"Proposition ,"
"Should we authorize the District to levy $95,000 in excess property taxes to meet general operating and equipment expenses for the  Naches Park and Recreation District?",Naches Park and Recreation District ,Proposition,1,"The Commissioners of the Naches Park and Recreation District adopted Resolution 2013-06 concerning a proposition to finance the general operating and equipment expenses of the District. This proposition would authorize the District to levy $95,000 in excess property taxes (approximately $.60 per $1,000 of assessed valuation) to be collected in 2014 and again in 2015 to meet general operating and equipment expenses.  Should this proposition be approved?  YES NO",,,http://www.yakimacounty.us/vote/sampleBallot11052013.pdf,,,,Naches Park and Recreation District ,nachespark,,,,,"Proposition 1,"
Should we continue the North Kitsap Fire and Rescue's levy to provide emergency medical services?,North Kitsap Fire and Rescue,Proposition,," For the purpose of providing emergency medical services, will North Kitsap Fire &amp; Rescue be authorized to continue to impose regular property tax levies of 50 cents or less per thousand dollars of assessed valuation for each of six consecutive years, with collection starting in 2014?(Authority:RCW 84.52.069; NKFR Res. No. 2013-10)",,,,,,,North Kitsap Fire and Rescue,kp_firetx2,,,,,"Proposition ,"
Should we assess a regular property tax levy to improve recreation and leisure time activities and opportunities for people of all ages in the greater Blaine-Birch Bay area?,Northwest Park and Recreation District No. 2,Proposition,1,"<p>The Board of Commissioners of Northwest Park and Recreation District No. 2 adopted Resolution No. 2013-01 concerning a proposition to assess a regular property tax levy for a four (4) year period (2014-17) of $0.10 per $1,000.00 of assessed valuation to fund staffing, operations, maintenance, and capital improvements to improve recreation and leisure time activities and opportunities for people of all ages in the greater Blaine-Birch Bay area.</p> <p>Do you support or oppose this measure?</p>",,,https://wei.sos.wa.gov/county/whatcom/en/Documents/2013_Gen_Voters_Guide.pdf,,,,Northwest Park and Recreation District No. 2,wm_parktax,,,,,"Proposition 1,"
Should we authorize a special levy tax for the continued improvement and general maintenance of the Oakesdale Cemetery District No. 1?,Oakesdale Cemetery District No. 1,Proposition,1,"Shall a special levy tax of $50,000, an estimate of $ .70 per one-thousand dollars of assessed valuation of 2013 for collection in 2014, for the continued improvement and general maintenance of the Oakesdale Cemetery District No. 1 be authorized and approved?  ",,,,,,,Oakesdale Cemetery District No. 1,wt_cemtry1,,,,,"Proposition 1,"
"Should we authorize a special tax for the purpose of operating, maintaining and improving Oaksdale Parks and Recreational facilities for 2014?",Oakesdale Park District No. 4,Proposition,1,"Shall the Oakesdale Park and Recreation District No.4 be authorized to impose a special levy tax of $67.000 , an estimated $0.17 per thousand dollars of assessed valuation, to be collected in 2014 for the purpose of operating, maintaining and improving its recreational facilities?",,,,,,,Oakesdale Park District No. 4,wt_parktx5,,,,,"Proposition 1,"
"Should we authorize a sales tax to fund Okanogan County Transit Authority operations, maintenance equipment, and facilities?",Okanogan Transportation District,Proposition,1,"<p>This proposition would fund the operation, maintenance equipment and facilities for a public transportation system within the boundaries of the Transit Authority. Shall the Okanogan County Transit Authority be authorized to impose a sales/use tax of up to four-tenths of one percent (4 cents on a $10 taxable purchase), as authorized by law, to be collected for the purpose of operating, maintaining and providing equipment and facilities for a public transportation system? The Okanogan County Transit Authority (OCTA) includes Okanogan County except the southeastern precincts and the Town of Nespelem. The precinct numbers 0016, 0027, 0049, 0058, 0066, 0068, 0101, 0102, 0103, 0104, 0132, 0133 are not included in the Okanogan County Transit Authority's boundary.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Okanogan Transportation District,ok_trantax,,,,,"Proposition 1,"
Should the Othello School District reapportion its director districts?,Othello School District No. 147,Proposition,1,"<p>The board of Directors of Othello School District No. 147 adopted Resolution No. 07-30-13D concerning this proposition to dissolve and reapportion its school director districts.  This proposition authorizes the District to dissolve its five director districts and reapportion its territory into one at large director district and four separate director districts for election of school board members, effective upon expiration of the term of current directors with their successors elected in the manner approved.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Othello School District No. 147,ad_oth_sch,,,,,"Proposition 1,"
Should we assess a property levy in Pacific County to subsidize ambulance and emergency medical services?,Pacific Emergency Med. Service 1,Proposition,1,"Shall an excess levy of sixty cents per thousand dollars of value, estimated to collect not more than four hundred sixty thousand dollars, be assessed against all property in Pacific County, except that within the boundaries of the Ocean Beach, Ocosta or North River School Districts, and collected in 2014 to subsidize ambulance and emergency medical services within the NPCEMS District No. 1 Service Area?",,,http://vote.wa.gov/results/current/pacific/,,,,Pacific Emergency Med. Service 1,pa_ems_tax,,,,,"Proposition 1,"
"Should we authorize the financing of health, safety, educational and infrastructure improvements in Pateros School District through bonds?",Pateros School 122-70J,Proposition,1,"<p>The Board of Directors of Pateros School District No. 122-70J adopted Resolution No. 264 concerning a proposition to finance health, safety, educational and infrastructure improvements. This proposition would authorize the District to make health, safety, educational and infrastructure improvements to Pateros School (including upgrading health and safety systems at core building and grounds; renovating CTE metals and vocational agriculture building; constructing a new multipurpose building; and providing additional space for transportation/maintenance bays); issue no more than $7,250,000 of general obligation bonds maturing within 20 years; and levy annual excess property taxes to repay the bonds, all as provided in Resolution No. 264.</p> <p>Do you support or oppose this measure?</p>",,,https://wei.sos.wa.gov/county/chelan/en/Documents/2013%20November/SAMPLE_Final.pdf,,,,Pateros School 122-70J,ok_pat_sch,,,,,"Proposition 1,"
"Should we levy excess taxes to fund the renovation, upgrading and modernization of educational facilities of the Peninsula School District No. 401? ",Peninsula School District No. 401,Proposition,1,"<p>The Board of Directors of Peninsula School District No. 401 adopted Resolution No. 13-03 authorizing capital projects levies. If approved, this proposition would fund the renovation, upgrading and modernization of educational facilities of the District, including technology improvements, and authorizes the following excess levies on all taxable property within the District:     LevyYear CollectionYear Approximate Levy Rateper $1000 Assessed Value Levy Amount  2013 2014 $1.42 $12,500,000  2014 2015 $1.41 $12,500,000  2015 2016 $1.38 $12,500,000  2016 2017 $1.35 $12,500,000  all as provided in Resolution No. 13-03.</p> <p>Do you support or oppose this measure?</p>",,,http://www.co.pierce.wa.us/DocumentCenter/View/25772,,,,Peninsula School District No. 401,pi_pen_sch,,,,,"Proposition 1,"
Should we authorize the District to finance capital improvements to South Pierce Fire and Rescue through bonds?,Pierce Fire Protection District No. 17,Proposition,1,"<p>The Board of Fire Commissioners of Pierce County Fire Protection District No. 17 (South Pierce Fire and Rescue) adopted Resolution No. 13-007 concerning a proposition to finance capital improvements to its facilities. If approved, this proposition would authorize the District to construct a new Headquarters station, undertake emergency power upgrades at four stations and remodel and upgrade fire and life safety facilities throughout the District, to issue $7,600,000 of general obligation bonds maturing within a maximum term of 20 years, and to levy and collect excess property taxes annually to repay the bonds, all as provided in Resolution No. 13-007.</p> <p>Do you support or oppose this measure?</p>",,,http://www.co.pierce.wa.us/DocumentCenter/View/25720,,,,Pierce Fire Protection District No. 17,pi_firebd2,,,,,"Proposition 1,"
Should we increase the number of members on the East Pierce Fire and Rescue Board of Commissioners?,Pierce Fire Protection District No. 22,Proposition,1,Shall the Board of Commissioners of East Pierce Fire and Rescue be increased from five members to seven members?,,,http://www.co.pierce.wa.us/DocumentCenter/View/25826,,,,Pierce Fire Protection District No. 22,pi_firebrd,,,,,"Proposition 1,"
"Should we authorize the Pierce County Fire Protection District No. 6 to remodel, replace and upgrade fire and life safety facilities through bonds? ",Pierce Fire Protection District No. 6,Proposition,1,"<p>The Board of Fire Commissioners of Pierce County Fire Protection District No. 6 (Central Pierce Fire and Rescue) adopted Resolution No. 13-06 concerning a proposition to finance capital improvements to its facilities. If approved, this proposition would authorize the District to remodel, replace and upgrade fire and life safety facilities throughout the District, to issue $39,800,000 of general obligation bonds maturing within a maximum term of 20 years, and to levy and collect annual excess property taxes to repay the bonds, all as provided in Resolution No. 13-06.</p> <p>Do you support or oppose this measure?</p>",,,http://www.co.pierce.wa.us/DocumentCenter/View/25706,,,,Pierce Fire Protection District No. 6,pi_firebd1,,,,,"Proposition 1,"
"Should we authorize the Pioneer School District No. 402 to issue bonds to reconfigure, expand and construct schools?",Pioneer School District No. 402,Proposition,,"<p>The Board of Directors of Pioneer School District No. 402 adopted Resolution No. 6-2013, concerning a proposition to finance reconfiguration, expansion and construction of schools. This proposition would authorize the District to reconfigure and expand Pioneer Primary School to accommodate Grades K-5 and replace Pioneer Middle School by constructing and equipping a new Pioneer Middle School (Grades 6-8); issue no more than $26,921,203 of general obligation bonds maturing within 25 years; and levy annual excess property taxes to repay the bonds, all as provided in Resolution No. 6-2013.</p> <p>Do you support or oppose this measure?</p>",,,http://www.psd402.org/cms/lib07/WA01001172/Centricity/Domain/1/Resolution%206%20%20Bonds%20to%20Reconfigure%20Expand%20and%20Construct%20Schools.pdf,,,,Pioneer School District No. 402,ma_pnr_sch,,,,,"Proposition ,"
Should we authorize the Point Roberts Park and Recreation District No. 1 to make capital improvements to maintain and improve the safety of the community center by issuing bonds?,Point Roberts Park and Recreation District No. 1,Proposition,1,"<p>The Board of Commissioners of Point Roberts Park and Recreation District No. 1 passed Resolution No. 13-02 concerning the District's community center. This proposition authorizes the District to replace the roof and HVAC systems of the community center, improve drainage on the site, and make other capital improvements to maintain and improve the safety and structural soundness of the center; to issue for these purposes $250,000 of general obligation bonds maturing within a maximum 10 years; and to levy property taxes annually, in addition to regular tax levies, to repay the bonds, as provided in Resolution No. 13-02.</p> <p>Do you support or oppose this measure?</p>",,,https://wei.sos.wa.gov/county/whatcom/en/Documents/2013_Gen_Voters_Guide.pdf,,,,Point Roberts Park and Recreation District No. 1,wm_pr_park,,,,,"Proposition 1,"
Should property taxes be increased to finance maintenance and operation costs for Jefferson County Fire Protection District No. 3?,Port Ludlow Fire District No. 3,Proposition,1,"<p>The Board of Fire Commissioners of Jefferson County Fire Protection District No. 3, aka Port Ludlow Fire &amp; Rescue, adopted Resolution 2013-01 concerning a proposition to adequately finance maintenance and operation costs. If approved, this proposition would use an estimated $0.59 per $1,000 of assessed value tax levy rate within the district for collection beginning in 2014 and ending in 2017 for the support of fire protection and emergency medical services, facilities, maintenance, staffing and operations.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Port Ludlow Fire District No. 3,je_firetx2,,,,,"Proposition 1,"
Should the length of terms for Port of Coupeville commissioners be reduced?,Port of Coupeville,Proposition,2,"<p>The Board of Commissioners of the Port of Coupeville, Island County, Washington, adopted Resolution No. 184 concerning the length of the term of office of port commissioners. This proposition will reduce the term of office of port commissioners from six years to four years, beginning with the port commissioners elected in the general election of November 5, 2013.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Port of Coupeville,is_portcpv,,,,,"Proposition 2,"
Should we authorize the Port of Grapeview  to increase its regular property tax levy to fund its programs?,Port of Grapeview,Proposition,,"<p>The Commissioners of the Port of Grapeview adopted Resolution No. 2013-06, concerning a proposition to fund specified Port programs. This proposition provides funding for the renovation, improvements, and operations of the boat ramp and parking lot located in Grapeview. This proposition authorizes the Port to increase its regular property tax levy for collection in 2014 to $0.1368 per $1,000.00 of assessed value and increase the levy each year thereafter as allowed by RCW 84.55 for each of the six succeeding years to fund these programs.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Port of Grapeview,ma_grvwprt,,,,,"Proposition ,"
Should the Port of Indianola's levy be increased to fund operations and capital improvements?,Port of Indianola District No. 7,Proposition,,"<p>The Port Commission adopted Resolution 2013-6 proposing an increase in the District's regular property tax levy. If approved, this proposition would provide funding for all District operations and capital improvements authorized under Revised Code of Washington Title 53. It authorizes a maximum regular property tax levy rate in 2014 of $0.22 per $1,000 of assessed value and use of the 2014 levy amount to calculate the levy limit in subsequent years.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Port of Indianola District No. 7,kt_porttx2,,,,,"Proposition ,"
Should we authorize the Prescott Joint Parks and Recreation District to levy excess taxes in support of the District's maintenance and operation expenses for 2014?,Prescott Parks and Recreation District,Proposition,1,"<p>The Board of Commissioners of the Prescott Joint Park and Recreation District adopted Resolution No. 7-23-2013 B, concerning a proposition to finance maintenance and operation expenses. This proposition would authorize the District to levy the following excess taxes upon all taxable property within the District, for support of the District's maintenance and operation expenses for 2014: Approximate Levy Levy Year/Rate/$1,000 Collection YearAssessed Value Levy Amount  2013/2014$ 00.40$110,000.00  all as provided in Resolution No. 7-23-2013 B.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Prescott Parks and Recreation District,wl_pr_park,,,,,"Proposition 1,"
Should the North Mason Regional Fire Authority be created and funded?,Proposed North Mason Regional Fire Authority,Proposition,,"<p>Mason County Fire Protection District No. 2 and Mason County Fire Protection District No. 8 adopted Joint Resolution No. 272 and 13-03, concerning a plan to create the North Mason Regional Fire Authority. This proposition would approve the plan and create the North Mason Regional Fire Authority, effective January 1, 2014, to provide fire protection and emergency medical services funded with a regular property tax levy of $1.50 per $1,000 of assessed value, a six year Emergency Medical tax of $.50 per $1,000 of assessed value and other sources identified in the plan. The Regional Fire Authority levy will replace each Fire District's existing property tax.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Proposed North Mason Regional Fire Authority,ma_firetx2,,,,,"Proposition ,"
Should we increase the Lewis County Fire District No. 14 levy for the provision of emergency medical services?,Randle Fire District No. 14,Proposition,,"Will Lewis County Fire Protection District No. 14 be authorized to  impose a regular property tax levy of up to $.35 per $1,000 of assessed  valuation each year for each of six consecutive years, beginning in 2013  to be collected in 2014 and each of the five following years  (2015-2019), for the provision of Emergency Medical Services, all as  provided in Lewis County Fire Protection District No. 14 Resolution No.  002-2013 and the Laws of the State of Washington RCW 84.52.069?",,,,,,,Randle Fire District No. 14,le_firetx2,,,,,"Proposition ,"
Should we authorize a special levy in the Rosalia Park & Recreation District No. 5 for maintenance and operation for 2014?,Rosalia Park District No. 5,Proposition,1,"Shall Rosalia Park & Recreation District No. 5 be authorized to impose a  special levy of  $0.52 per one thousand dollars of assessed valuation, to be  collected in the year 2014, in order to collect $55,000 for maintenance and operation for 2014?",,,,,,,Rosalia Park District No. 5,wt_parktx3,,,,,"Proposition 1,"
Should we authorize the County Council to change the language on the San Juan County Charter?,San Juan County,Proposition,1,"<p>The County Council adopted Ordinance 8-2013 which proposes an amendment to the County Charter. If adopted, the process for publically-initiated changes to the charter would be renamed from ""initiative petition"" to ""charter amendment petition.""</p> <p>Do you support or oppose this measure?</p>",,,,,,,San Juan County,sj_charter,,,,,"Proposition 1,"
"Should we  authorize the District to levy a one-year excess property tax levy for maintaining the basic safety, maintenance and operations of the Si View Metropolitan Park District?",Si View Metropolitan Park District,Proposition,1,"The Board of Directors of Si View Metropolitan Park District adopted Resolution No. 2013-02 concerning a proposition for basic safety, maintenance and operations. This proposition would maintain current funding for operations, facilities and programs, including the Si View Community Center and Pool, parks, playfields, playgrounds, sports programs, trails, adult programming, summer camps, and after-school recreation programs for youth and teens, by authorizing the District to levy a one-year excess property tax levy on all taxable property within the District at an approximate rate of $0.28/$1,000 of assessed value to provide $540,016, to be collected in 2014.  Should this proposition be approved?   Yes No",,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47903&eid=1258,,,,Si View Metropolitan Park District,siviewprp1,,,,,"Proposition 1,"
Should we authorize an increase in their regular property tax levy for the maintenance and operations of the No. 15 Skagit Fire Protection District?,Skagit Fire District No. 15,Proposition,1,"<p>The Board of Fire Commissioners of Fire Protection District No. 15, Skagit County, Washington adopted Resolution No. 195 authorizing an increase in their regular property tax levy. This proposition would authorize the District to increase its regular property tax levy from the current $0.479 per $1,000 of assessed value to $1.00 per $1,000 of assessed value for the 2014 tax collection year, and maintain this rate, subject to any otherwise applicable rate limitations, for the maintenance and operations of the District.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Skagit Fire District No. 15,sk_firetax,,,,,"Proposition 1,"
Should we increase the number of members on the Board of Commissioners of Snohomish Public Hospital District No.1?,Snohomish Hospital District 1,Proposition,1,"<p>The Board of Commissioners of Public Hospital District No.1 adopted Resolution No.2013-09 concerning a proposition to increase the number of members on its Board of Commissioners. If approved, this proposition would increase the number of commissioners on the District's Board of Commissioners from three members to five members.</p> <p>Do you support or oppose this measure?</p>",,,http://www.co.snohomish.wa.us/documents/Departments/Auditor/Elections/sampleballot1113.pdf,,,,Snohomish Hospital District 1,sn_hosptal,,,,,"Proposition 1,"
"Should we authorize a special tax levy for the operating fund, swimming pool, capital outlay, and/or cumulative reserve for St. John Park and Recreation District No. 3?",St. John Park District No. 3,Proposition,1,"Shall a special tax levy of $50,000, an estimated $ .30 per one thousand dollars of assessed valuation, for the operating fund, swimming pool, capital outlay, and/or cumulative reserve for St. John Park and Recreation District No. 3 be approved?",,,,,,,St. John Park District No. 3,wt_parktx1,,,,,"Proposition 1,"
"Should we authorize to make health, safety and energy efficiency improvements  at St. John  School using a levy in excess taxes?",St. John School District No. 322,Proposition,1,"<p>The Board of Directors of St. John School District No. 322-JT 401 adopted Resolution No. 12-02, concerning a proposition to finance health, safety and energy efficiency improvements. This proposition would authorize the District to make health, safety and energy efficiency improvements  at St. John  School  (including replacing boilers and heating and ventilation equipment in classrooms, offices, music area, gyms and shower rooms), and levy the following excess taxes, on all taxable property within the District:
<table>
<tr>
<td>Collection Year</td>
<td>Approximate Levy Rate per $1,000 Assessed Value</td>
<td>Levy Amount</td>
</tr>
<tr>
<td>2014</td>
<td>$1.84</td>
<td>$323,000</td>
</tr>
<tr>
<td>2015</td>
<td>$1.80</td>
<td>$323,000</td>
</tr>
<tr>
<td>2016</td>
<td>$1.75</td>
<td>$323,000</td>
</tr>                    
</table>
all as provided in Resolution No. 12-02.</p>
<p>Do you support or oppose this measure?</p>",,,https://wei.sos.wa.gov/county/spokane/erchives/Documents/Sample%20Ballots/2013%20Sample%20Ballot/Sample%20Ballotg113.pdf,,,,St. John School District No. 322,wt_stj_sch,,,,,"Proposition 1,"
Should we authorize concerning school facilities excess of regular property tax levies improvements and technology upgrades to the Stanwood-Camano School District No. 401?,Stanwood-Camano School District No. 401,Proposition,1,"<p>The Board of Directors of Stanwood-Camano School District No. 401 passed Resolution No. 2012/13-005 concerning school facilities improvements and technology upgrades. The proposition would authorize the District to modernize and repair District facilities, modernize and upgrade District technology and computer systems for instruction and operations, and other capital project expenditures; and authorize the following taxes in excess of regular property tax levies, on all taxable property within the District:
<table>
<tr>
<td>Collection Year</td>
<td>Approximate Levy Rate per $1,000 Assessed Value</td>
<td>Levy Amount</td>
</tr>
<tr>
<td>2014</td>
<td>$1.44</td>
<td>$6,884,014</td>
</tr>
<tr>
<td>2015</td>
<td>$1.44</td>
<td>$6,952,817</td>
</tr>
<tr>
<td>2016</td>
<td>$1.44</td>
<td>$7,091,801</td>
</tr>
<tr>
<td>2017</td>
<td>$1.44</td>
<td>$7,233,566</td>
</tr>
<tr>
<td>2018</td>
<td>$0.15</td>
<td>$768,559</td>
</tr>
                      
</table>
</p>
<p>Do you support or oppose this measure?</p>",,,http://www.co.snohomish.wa.us/documents/Departments/Auditor/Elections/sampleballot1113.pdf,,,,Stanwood-Camano School District No. 401,sn_sch_tax,,,,,"Proposition 1,"
