cluster,topic,url,description,user
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in Rainier Beach are appropriate to allow multi-family housing.,rainier_beach--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-Rainier-Beach-are-appropriate-to-a,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Rainier_Beach.pdf,jesseca.brand@seattle.gov
Urban Village Expansions,The draft urban village boundary is appropriate for the Rainier Beach area taking into account local factors and features.,rainier_beach--The-draft-urban-village-boundary-is-appropriate-for-the-Rainier-Beach-area-taking-into-acco,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Rainier_Beach.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for South Park accurately reflects the Principles to Guide MHA Implementation.",south_park--In-general-the-draft-zoning-changes-for-South-Park-accurately-reflects-the-Principles-to-G,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_South_Park.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in South Park.,south_park--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_South_Park.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in South Park.,south_park--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_South_Park.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in South Park.,south_park--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_South_Park.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in South Park.,south_park--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_South_Park.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in South Park while maintaining scale and character of single family areas.,south_park--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-South-Par,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_South_Park.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in South Park are appropriate to allow multi-family housing.,south_park--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-South-Park-are-appropriate-to-allo,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_South_Park.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for Upper Queen Anne accurately reflects the Principles to Guide MHA Implementation.",upper_queen_anne--In-general-the-draft-zoning-changes-for-Upper-Queen-Anne-accurately-reflects-the-Principle,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Upper_Queen_Anne.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in Upper Queen Anne.,upper_queen_anne--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Upper_Queen_Anne.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in Upper Queen Anne.,upper_queen_anne--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Upper_Queen_Anne.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in Upper Queen Anne.,upper_queen_anne--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Upper_Queen_Anne.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in Upper Queen Anne.,upper_queen_anne--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Upper_Queen_Anne.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in Upper Queen Anne while maintaining scale and character of single family areas.,upper_queen_anne--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-Upper-Que,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Upper_Queen_Anne.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in Upper Queen Anne are appropriate to allow multi-family housing.,upper_queen_anne--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-Upper-Queen-Anne-are-appropriate-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Upper_Queen_Anne.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for Wallingford accurately reflects the Principles to Guide MHA Implementation.",wallingford--In-general-the-draft-zoning-changes-for-Wallingford-accurately-reflects-the-Principles-to-,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Wallingford.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in Wallingford.,wallingford--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Wallingford.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in Wallingford.,wallingford--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Wallingford.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in Wallingford.,wallingford--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Wallingford.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in Wallingford.,wallingford--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Wallingford.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in Wallingford while maintaining scale and character of single family areas.,wallingford--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-Wallingfo,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Wallingford.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in Wallingford are appropriate to allow multi-family housing.,wallingford--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-Wallingford-are-appropriate-to-all,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Wallingford.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for West Seattle Junction accurately reflects the Principles to Guide MHA Implementation.",west_seattle_junction--In-general-the-draft-zoning-changes-for-West-Seattle-Junction-accurately-reflects-the-Prin,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_West_Seattle_Junction.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in West Seattle Junction.,west_seattle_junction--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_West_Seattle_Junction.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in West Seattle Junction.,west_seattle_junction--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_West_Seattle_Junction.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in West Seattle Junction.,west_seattle_junction--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_West_Seattle_Junction.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in West Seattle Junction.,west_seattle_junction--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_West_Seattle_Junction.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in West Seattle Junction while maintaining scale and character of single family areas.,west_seattle_junction--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-West-Seat,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_West_Seattle_Junction.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in West Seattle Junction are appropriate to allow multi-family housing.,west_seattle_junction--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-West-Seattle-Junction-are-appropri,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_West_Seattle_Junction.pdf,jesseca.brand@seattle.gov
Urban Village Expansions,The draft urban village boundary is appropriate for the West Seattle Junction area taking into account local factors and features.,west_seattle_junction--The-draft-urban-village-boundary-is-appropriate-for-the-West-Seattle-Junction-area-taking-i,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_West_Seattle_Junction.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for Westwood-Highland Park accurately reflects the Principles to Guide MHA Implementation.",westwood-highland_park--In-general-the-draft-zoning-changes-for-Westwood-Highland-Park-accurately-reflects-the-Pri,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Westwood_Highland_Park.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in Westwood-Highland Park.,westwood-highland_park--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Westwood_Highland_Park.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in Westwood-Highland Park.,westwood-highland_park--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Westwood_Highland_Park.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in Westwood-Highland Park.,westwood-highland_park--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Westwood_Highland_Park.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in Westwood-Highland Park.,westwood-highland_park--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Westwood_Highland_Park.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in Westwood-Highland Park while maintaining scale and character of single family areas.,westwood-highland_park--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-Westwood-,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Westwood_Highland_Park.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in Westwood-Highland Park are appropriate to allow multi-family housing.,westwood-highland_park--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-Westwood-Highland-Park-are-appropr,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Westwood_Highland_Park.pdf,jesseca.brand@seattle.gov
